title,seniority,location,tech_stack,company_size,years_experience,salary
HR,Mid,Germany,C++,Mid-Size,3,71588.96
Designer,Senior,New York,Go,Startup,2,139996.43
Software Engineer,Mid,New York,Python,Startup,9,109756.85
QA Engineer,Principal,India,Javascript,Big Tech,14,93347.41
Designer,Mid,New York,C++,Mid-Size,10,146752.09
Sales,Lead,London,C++,Startup,13,168788.92
Product Manager,Junior,Germany,Go,Big Tech,5,101465.75
DevOps,Junior,Germany,Rust,Mid-Size,11,83873.49
Software Engineer,Principal,India,Rust,Startup,12,71282.98
DevOps,Lead,New York,C++,Mid-Size,16,375451.61
Sales,Senior,SF,Python,Mid-Size,15,235670.04
Designer,Lead,Germany,Javascript,Startup,2,105624.49
Designer,Junior,India,C++,Startup,1,10825.52
HR,Junior,India,Java,Startup,10,10260.04
Sales,Lead,London,Javascript,Mid-Size,8,188406.62
Software Engineer,Lead,Remote,Rust,Mid-Size,2,197526.49
HR,Junior,Remote,C++,Big Tech,17,94937.74
Product Manager,Senior,Germany,Go,Mid-Size,19,195437.16
HR,Principal,London,Java,Startup,14,195210.19
Data Scientist,Principal,London,C++,Mid-Size,13,340141.95
Software Engineer,Lead,London,Python,Big Tech,1,220017.25
Data Scientist,Principal,Germany,Java,Big Tech,16,419021.37
Sales,Junior,Remote,C++,Startup,21,60300.34
QA Engineer,Junior,London,Python,Startup,25,46196.17
Data Scientist,Lead,New York,Java,Big Tech,7,382029.84
Product Manager,Lead,India,Python,Big Tech,9,84444.46
HR,Lead,India,Python,Big Tech,25,66474.34
QA Engineer,Senior,SF,Java,Startup,17,163860.24
HR,Principal,SF,Java,Big Tech,24,539800.39
Data Scientist,Lead,Germany,Python,Big Tech,18,302274.23
HR,Mid,Germany,Rust,Startup,7,62813.08
Sales,Mid,India,Java,Mid-Size,7,26183.84
QA Engineer,Junior,New York,C++,Mid-Size,2,74863.58
Sales,Principal,Remote,Javascript,Big Tech,2,324852.8
Data Scientist,Lead,Remote,Go,Mid-Size,11,288499.12
Sales,Mid,Germany,Python,Mid-Size,21,100971.02
Product Manager,Principal,New York,Python,Mid-Size,16,468461.3
Data Scientist,Junior,Germany,Go,Mid-Size,3,58427.07
Data Scientist,Senior,Remote,Rust,Big Tech,16,284840.6
Data Scientist,Principal,Germany,Go,Mid-Size,13,319878.83
Software Engineer,Principal,London,Java,Mid-Size,18,318555.28
HR,Senior,Germany,Go,Startup,8,88617.37
Software Engineer,Principal,India,Python,Big Tech,20,116851.24
Software Engineer,Junior,Germany,Go,Startup,11,61745.74
Product Manager,Junior,India,Javascript,Startup,4,13838.41
QA Engineer,Senior,New York,C++,Big Tech,10,251687.02
HR,Lead,Remote,Java,Mid-Size,19,193126.53
Sales,Mid,SF,Go,Startup,2,119796.42
Designer,Lead,SF,Python,Big Tech,20,436870.41
Data Scientist,Principal,Remote,C++,Mid-Size,14,344396.61
Sales,Mid,SF,Java,Big Tech,13,208408.89
Data Scientist,Senior,Germany,Python,Startup,10,103511.43
Product Manager,Senior,New York,Rust,Mid-Size,19,282284.16
Data Scientist,Mid,New York,Javascript,Mid-Size,7,150518.44
Software Engineer,Junior,Remote,Rust,Big Tech,3,98707.34
HR,Mid,SF,Javascript,Mid-Size,11,128442.23
Designer,Principal,Germany,Go,Startup,7,201564.72
DevOps,Junior,New York,Java,Startup,5,72511.01
Data Scientist,Senior,New York,Go,Startup,14,196007.47
Sales,Mid,London,Javascript,Big Tech,11,152998.2
Software Engineer,Lead,London,Javascript,Mid-Size,15,231820.72
DevOps,Lead,New York,Javascript,Mid-Size,15,333450.84
Designer,Principal,Remote,C++,Mid-Size,20,308463.15
DevOps,Lead,India,Python,Startup,19,46417.43
Software Engineer,Mid,India,Java,Mid-Size,19,28392.96
HR,Mid,Germany,Go,Startup,3,60029.78
HR,Lead,New York,Go,Mid-Size,10,251114.38
QA Engineer,Mid,New York,Rust,Startup,12,111576.7
HR,Principal,New York,Javascript,Mid-Size,8,295821.74
QA Engineer,Junior,Remote,Javascript,Big Tech,3,81802.19
DevOps,Principal,London,Javascript,Big Tech,11,415470.82
Product Manager,Principal,New York,Go,Startup,8,384345.34
Sales,Mid,New York,Rust,Startup,12,130222.55
Sales,Junior,SF,Python,Mid-Size,15,107088.59
DevOps,Mid,Remote,C++,Mid-Size,25,131897.01
Data Scientist,Senior,Germany,Java,Big Tech,5,174465.06
Data Scientist,Mid,New York,Python,Mid-Size,9,155438.63
HR,Mid,SF,Go,Startup,12,121795.82
Sales,Mid,India,C++,Startup,6,19394.96
Sales,Junior,Germany,C++,Startup,25,52058.26
QA Engineer,Mid,New York,C++,Startup,18,104812.97
Product Manager,Junior,New York,Javascript,Startup,23,84711.44
Software Engineer,Lead,SF,Java,Big Tech,18,421083.45
Data Scientist,Senior,Remote,Go,Big Tech,16,311339.31
Sales,Junior,New York,Go,Startup,12,84620.98
QA Engineer,Lead,India,C++,Mid-Size,12,50450.89
Designer,Junior,New York,Go,Startup,25,81941.18
QA Engineer,Junior,India,Java,Big Tech,20,23715.73
Data Scientist,Senior,Germany,Java,Startup,1,91292.27
Data Scientist,Principal,Germany,Rust,Big Tech,9,412051.5
QA Engineer,Principal,London,Rust,Big Tech,21,425030.9
Software Engineer,Junior,London,Python,Startup,12,62262.73
DevOps,Mid,India,Java,Startup,25,23789.61
Data Scientist,Lead,Remote,Java,Mid-Size,8,216476.4
QA Engineer,Mid,New York,Java,Big Tech,0,138560.86
Sales,Mid,New York,Rust,Mid-Size,13,190974.75
QA Engineer,Junior,London,C++,Startup,15,50098.15
Product Manager,Junior,India,C++,Big Tech,19,29959.67
DevOps,Junior,New York,Go,Mid-Size,14,131855.0
Designer,Junior,New York,C++,Mid-Size,0,73327.16
Software Engineer,Principal,Remote,Javascript,Mid-Size,16,347762.84
HR,Junior,SF,Rust,Startup,23,83365.56
Designer,Principal,London,Java,Startup,12,208948.57
DevOps,Principal,London,C++,Startup,14,277784.91
DevOps,Junior,SF,Rust,Big Tech,15,185175.05
DevOps,Senior,New York,C++,Startup,15,197708.29
Designer,Lead,Remote,Python,Big Tech,1,199814.63
Sales,Mid,Remote,Java,Mid-Size,16,119447.86
DevOps,Principal,London,Python,Mid-Size,10,288483.33
QA Engineer,Lead,Remote,Java,Startup,7,123817.51
Designer,Senior,Germany,Rust,Mid-Size,19,173799.9
HR,Mid,SF,Go,Startup,2,83749.26
DevOps,Mid,New York,C++,Big Tech,11,229097.14
QA Engineer,Principal,Germany,C++,Mid-Size,19,265440.77
Sales,Junior,SF,Javascript,Startup,15,93096.37
Product Manager,Senior,India,Python,Mid-Size,13,50132.47
Sales,Principal,London,C++,Mid-Size,15,322130.81
HR,Senior,Remote,Rust,Startup,20,125829.18
DevOps,Junior,India,Go,Mid-Size,16,26697.94
HR,Junior,Remote,Rust,Mid-Size,10,73308.95
Designer,Principal,Germany,Python,Mid-Size,16,249648.97
Data Scientist,Junior,New York,Javascript,Mid-Size,18,121055.23
DevOps,Lead,New York,C++,Big Tech,21,449861.21
Data Scientist,Mid,New York,Rust,Mid-Size,0,129985.92
QA Engineer,Principal,Remote,Java,Mid-Size,11,249677.83
Product Manager,Senior,India,Go,Startup,14,42734.14
Software Engineer,Lead,New York,Rust,Big Tech,17,482818.27
HR,Principal,India,Go,Startup,22,60729.41
Sales,Junior,Remote,C++,Startup,13,64392.77
Product Manager,Junior,Germany,Java,Startup,0,42242.99
DevOps,Junior,India,Javascript,Big Tech,12,30379.49
Data Scientist,Junior,Germany,Javascript,Startup,14,56263.31
Sales,Senior,Remote,Java,Startup,6,102245.16
Data Scientist,Lead,Remote,Go,Startup,14,199282.25
Designer,Mid,London,C++,Mid-Size,19,120348.53
Data Scientist,Senior,Remote,Rust,Startup,9,132733.5
Designer,Senior,Remote,Java,Big Tech,13,217346.86
QA Engineer,Mid,SF,Python,Big Tech,5,191062.3
Sales,Mid,New York,Go,Mid-Size,13,181752.95
Sales,Junior,London,Javascript,Big Tech,23,101276.35
Software Engineer,Senior,London,Java,Big Tech,24,213756.07
DevOps,Principal,London,Javascript,Mid-Size,21,362263.9
Designer,Mid,SF,Go,Startup,11,137978.95
Software Engineer,Mid,Germany,Javascript,Mid-Size,10,102855.15
Data Scientist,Lead,Remote,Java,Startup,24,187419.75
Data Scientist,Principal,New York,Go,Startup,19,406890.74
Software Engineer,Principal,India,Python,Big Tech,21,112557.32
Sales,Mid,Germany,Java,Mid-Size,23,96793.78
Data Scientist,Junior,Remote,Rust,Big Tech,24,143478.07
HR,Lead,SF,C++,Big Tech,18,376891.73
QA Engineer,Principal,Remote,Java,Startup,1,161702.66
QA Engineer,Mid,Remote,Go,Big Tech,21,165265.78
HR,Principal,SF,C++,Mid-Size,19,404260.07
Software Engineer,Lead,London,Java,Big Tech,0,217867.01
HR,Lead,London,Python,Big Tech,7,210071.58
Designer,Senior,New York,Python,Startup,24,159944.47
Designer,Mid,New York,Rust,Mid-Size,13,193241.03
Software Engineer,Lead,London,Javascript,Big Tech,8,281197.58
HR,Senior,Germany,C++,Startup,1,80974.91
Designer,Senior,India,Go,Big Tech,24,63549.12
Sales,Principal,Remote,Go,Mid-Size,22,361407.55
HR,Principal,India,Javascript,Big Tech,4,68677.95
Sales,Senior,Remote,Python,Big Tech,22,252125.91
Designer,Principal,London,Python,Startup,24,205708.44
QA Engineer,Lead,New York,Java,Big Tech,7,334616.43
Designer,Junior,Germany,Rust,Startup,15,52608.18
Sales,Lead,New York,C++,Mid-Size,21,322308.84
Product Manager,Senior,India,Rust,Big Tech,15,71521.35
DevOps,Senior,New York,Rust,Mid-Size,12,271398.96
Data Scientist,Lead,London,Java,Mid-Size,19,237667.11
HR,Principal,Germany,Rust,Big Tech,14,344118.24
Product Manager,Principal,India,Javascript,Startup,0,49080.92
Designer,Senior,Germany,Java,Mid-Size,21,138084.52
QA Engineer,Mid,Remote,Javascript,Mid-Size,2,84361.71
Software Engineer,Principal,New York,Java,Big Tech,5,433840.96
Designer,Lead,Germany,Rust,Big Tech,21,274707.83
QA Engineer,Principal,SF,Javascript,Big Tech,13,569548.16
DevOps,Lead,New York,Javascript,Big Tech,3,351064.84
Designer,Senior,Remote,Javascript,Big Tech,17,235185.98
Sales,Principal,Germany,Java,Big Tech,14,380178.54
Software Engineer,Lead,India,Go,Startup,8,42991.26
QA Engineer,Senior,Remote,Rust,Mid-Size,17,183783.85
QA Engineer,Mid,SF,Javascript,Startup,2,85571.04
QA Engineer,Lead,Germany,C++,Startup,9,136770.83
DevOps,Mid,London,Go,Big Tech,16,202952.12
Designer,Mid,New York,C++,Mid-Size,6,133880.8
DevOps,Junior,India,Rust,Startup,14,19654.68
HR,Principal,London,Rust,Big Tech,0,289814.29
Data Scientist,Lead,Germany,Javascript,Big Tech,24,293094.8
Data Scientist,Mid,Germany,Javascript,Mid-Size,10,103032.15
HR,Junior,Remote,Java,Startup,16,51749.39
Designer,Senior,Germany,Go,Startup,4,100624.6
Sales,Lead,India,Go,Startup,6,43270.19
DevOps,Mid,London,Javascript,Big Tech,18,177641.97
Software Engineer,Principal,India,Rust,Mid-Size,24,103883.95
QA Engineer,Junior,SF,Javascript,Mid-Size,23,105572.21
QA Engineer,Mid,SF,Rust,Startup,14,133387.35
Designer,Principal,New York,Rust,Big Tech,2,435674.32
Sales,Mid,New York,Javascript,Startup,14,110036.1
Data Scientist,Lead,SF,Python,Mid-Size,4,276415.51
Data Scientist,Lead,Germany,Go,Big Tech,22,330545.2
QA Engineer,Lead,India,C++,Startup,11,40481.19
Designer,Junior,SF,Rust,Startup,19,78599.44
DevOps,Lead,New York,Rust,Big Tech,4,382644.2
Data Scientist,Principal,SF,Python,Mid-Size,2,370336.38
DevOps,Mid,Germany,C++,Big Tech,8,134150.07
Sales,Senior,SF,Java,Startup,25,174300.38
Data Scientist,Principal,India,Python,Startup,8,57127.7
Data Scientist,Principal,London,C++,Startup,6,211941.91
Product Manager,Lead,Germany,Python,Startup,25,160451.72
Data Scientist,Junior,New York,Rust,Mid-Size,1,103622.95
HR,Mid,India,Go,Mid-Size,22,29870.15
Software Engineer,Junior,SF,Python,Startup,22,91568.99
HR,Mid,SF,Java,Mid-Size,20,140879.23
Designer,Mid,London,Javascript,Mid-Size,15,113176.32
Designer,Junior,New York,C++,Mid-Size,8,95274.86
DevOps,Principal,New York,Python,Startup,12,344152.13
HR,Mid,Remote,Python,Big Tech,18,131629.07
HR,Junior,New York,Java,Big Tech,19,115329.4
HR,Mid,London,Go,Big Tech,16,156532.87
Sales,Senior,Remote,Python,Startup,5,103766.66
Data Scientist,Principal,Remote,Python,Mid-Size,3,256983.41
Software Engineer,Lead,SF,Go,Mid-Size,0,266364.59
DevOps,Mid,SF,Java,Startup,17,149746.24
HR,Senior,New York,C++,Startup,18,145070.43
HR,Lead,Remote,C++,Big Tech,8,242963.45
Product Manager,Lead,SF,Python,Big Tech,12,465867.82
DevOps,Mid,London,Go,Startup,7,97267.76
HR,Junior,SF,Python,Big Tech,22,130416.89
DevOps,Mid,Germany,Javascript,Mid-Size,12,101097.0
Data Scientist,Senior,Germany,C++,Startup,14,129631.86
Product Manager,Lead,SF,Rust,Startup,10,268847.65
DevOps,Mid,Remote,Javascript,Mid-Size,11,122203.1
Software Engineer,Junior,Remote,Python,Mid-Size,13,83352.32
Software Engineer,Mid,India,Java,Mid-Size,3,26789.72
Designer,Principal,Germany,C++,Big Tech,0,264389.88
Product Manager,Junior,London,Rust,Startup,23,72806.44
Product Manager,Senior,Remote,Javascript,Big Tech,3,207087.06
Designer,Lead,New York,C++,Mid-Size,18,305893.97
DevOps,Mid,Germany,Go,Big Tech,8,148807.7
Product Manager,Junior,London,Java,Mid-Size,9,83996.57
Software Engineer,Principal,London,Javascript,Big Tech,3,326727.76
Software Engineer,Junior,Remote,Go,Big Tech,19,124441.66
HR,Principal,London,Python,Mid-Size,8,220623.35
Data Scientist,Senior,Remote,Go,Big Tech,12,264914.95
Product Manager,Lead,SF,Javascript,Startup,11,232777.56
DevOps,Senior,Germany,Javascript,Big Tech,10,202783.57
Designer,Mid,India,Python,Big Tech,11,36236.53
Designer,Junior,SF,Go,Startup,17,92457.58
DevOps,Principal,Germany,Go,Mid-Size,11,326185.99
Sales,Principal,Remote,Python,Startup,15,267281.16
QA Engineer,Junior,Germany,Go,Big Tech,4,76011.69
Data Scientist,Junior,Remote,C++,Mid-Size,19,86236.29
Designer,Mid,SF,Python,Big Tech,24,202324.66
Product Manager,Senior,New York,Java,Big Tech,11,333788.53
Data Scientist,Principal,New York,Javascript,Startup,20,336491.1
Product Manager,Mid,Germany,Java,Startup,24,82930.23
Sales,Senior,New York,C++,Mid-Size,10,218505.92
Software Engineer,Mid,Remote,C++,Mid-Size,8,116920.89
Data Scientist,Principal,London,Rust,Mid-Size,17,416185.73
HR,Junior,Remote,Rust,Big Tech,24,99549.31
Designer,Junior,London,Rust,Startup,2,45921.43
Data Scientist,Senior,SF,Python,Startup,19,216633.32
Data Scientist,Lead,India,Go,Startup,16,54769.98
Data Scientist,Senior,London,C++,Mid-Size,13,180536.17
QA Engineer,Lead,New York,Java,Startup,0,135852.66
Data Scientist,Mid,Remote,Java,Startup,16,93201.25
Product Manager,Mid,SF,Java,Startup,24,146092.27
Software Engineer,Principal,New York,Java,Mid-Size,7,396984.18
Sales,Lead,SF,Rust,Startup,4,236223.07
DevOps,Principal,India,Java,Mid-Size,4,65316.4
Data Scientist,Junior,Remote,Go,Startup,8,70306.49
Designer,Lead,Germany,Rust,Startup,2,119875.04
Data Scientist,Senior,Remote,Java,Startup,18,141447.94
Designer,Junior,India,Python,Mid-Size,22,18505.62
Product Manager,Junior,Remote,Javascript,Mid-Size,8,73979.55
Designer,Senior,Germany,Javascript,Startup,21,107753.57
HR,Junior,London,Javascript,Big Tech,17,80500.78
DevOps,Lead,SF,Rust,Mid-Size,15,387287.58
Software Engineer,Principal,Germany,Java,Mid-Size,0,208263.44
Designer,Junior,New York,C++,Startup,1,51768.92
Designer,Lead,India,C++,Big Tech,13,70387.85
Software Engineer,Mid,London,C++,Startup,13,99293.2
DevOps,Lead,New York,Rust,Mid-Size,0,268486.12
Data Scientist,Principal,New York,Go,Mid-Size,25,509972.56
Designer,Lead,India,Python,Startup,25,40415.52
Software Engineer,Senior,London,Python,Startup,24,134015.72
HR,Principal,New York,Javascript,Big Tech,15,498274.13
HR,Mid,New York,Javascript,Big Tech,14,167064.29
Product Manager,Senior,London,C++,Mid-Size,25,189466.52
Software Engineer,Lead,Remote,C++,Big Tech,14,347626.69
Product Manager,Principal,New York,Javascript,Big Tech,11,635947.21
HR,Mid,SF,Java,Mid-Size,15,131636.95
DevOps,Senior,London,Go,Mid-Size,13,197052.73
Data Scientist,Mid,New York,Go,Mid-Size,23,195872.45
Software Engineer,Lead,India,Go,Mid-Size,14,68505.66
Sales,Mid,Germany,Go,Startup,22,87982.92
HR,Junior,SF,Javascript,Mid-Size,14,87685.74
HR,Senior,Germany,Python,Mid-Size,18,124018.83
Sales,Mid,Germany,Javascript,Mid-Size,7,84782.59
QA Engineer,Lead,New York,Go,Big Tech,1,282868.95
HR,Lead,SF,Javascript,Mid-Size,1,196004.18
Designer,Mid,SF,Go,Startup,9,123513.75
DevOps,Lead,Remote,Rust,Startup,2,169735.19
Software Engineer,Principal,Germany,C++,Mid-Size,22,286970.64
Sales,Principal,SF,Python,Startup,16,339100.99
Designer,Principal,Remote,Rust,Big Tech,7,373936.01
Sales,Junior,London,Java,Mid-Size,22,74768.16
Software Engineer,Mid,Remote,Javascript,Startup,3,75280.75
Product Manager,Junior,India,Java,Startup,13,17672.58
Software Engineer,Lead,New York,Javascript,Mid-Size,20,317983.28
QA Engineer,Junior,London,C++,Startup,9,50404.9
Software Engineer,Lead,London,Rust,Mid-Size,0,181585.28
Software Engineer,Lead,India,C++,Startup,3,37385.16
QA Engineer,Senior,Remote,Go,Big Tech,0,187580.52
DevOps,Principal,New York,C++,Startup,16,352743.07
HR,Lead,Remote,C++,Startup,25,160287.34
Software Engineer,Senior,SF,Go,Mid-Size,16,305861.21
QA Engineer,Principal,Remote,Javascript,Startup,6,178135.9
Designer,Lead,London,Go,Mid-Size,22,231873.73
Product Manager,Lead,New York,Rust,Big Tech,19,531505.91
Product Manager,Junior,Remote,C++,Mid-Size,14,100998.62
Software Engineer,Junior,New York,Go,Mid-Size,12,124447.91
DevOps,Principal,New York,C++,Startup,1,259413.62
DevOps,Lead,SF,Rust,Big Tech,18,486613.5
Designer,Mid,SF,Java,Mid-Size,23,164095.72
Software Engineer,Junior,London,Rust,Startup,12,60400.56
Product Manager,Principal,India,Python,Startup,23,64566.88
DevOps,Lead,New York,Python,Mid-Size,10,295594.34
Software Engineer,Lead,India,Python,Startup,21,41916.09
Sales,Mid,London,C++,Mid-Size,14,121296.41
DevOps,Principal,New York,Javascript,Mid-Size,9,409890.52
QA Engineer,Lead,New York,Javascript,Mid-Size,8,242079.35
Sales,Junior,Germany,Javascript,Big Tech,8,74585.58
HR,Mid,India,C++,Mid-Size,19,25584.31
DevOps,Principal,Remote,Rust,Startup,0,217395.64
Product Manager,Mid,SF,Javascript,Big Tech,16,262513.64
Data Scientist,Junior,Remote,Java,Startup,11,65023.25
Sales,Principal,India,Python,Big Tech,9,93257.52
HR,Mid,SF,Rust,Big Tech,4,171169.61
Designer,Senior,Remote,Python,Big Tech,17,226739.51
Designer,Junior,Germany,Javascript,Big Tech,14,77214.63
Product Manager,Junior,SF,Rust,Startup,5,93413.2
DevOps,Junior,New York,Go,Mid-Size,6,115383.5
Software Engineer,Senior,Remote,Java,Startup,16,127397.77
DevOps,Senior,SF,Javascript,Mid-Size,5,216303.45
Product Manager,Lead,Germany,Javascript,Startup,7,155012.72
Designer,Mid,SF,Java,Big Tech,11,210327.07
DevOps,Lead,SF,Java,Big Tech,20,482866.5
Designer,Mid,Germany,Go,Mid-Size,13,115509.81
Sales,Senior,Remote,Javascript,Mid-Size,11,179075.28
HR,Senior,London,C++,Startup,22,109027.94
Software Engineer,Lead,Remote,Javascript,Mid-Size,9,211504.39
Sales,Principal,India,Python,Startup,21,62808.2
Designer,Lead,Germany,Rust,Mid-Size,19,207418.05
Designer,Mid,Remote,Rust,Mid-Size,14,124358.85
Data Scientist,Lead,SF,Python,Mid-Size,6,286919.21
Data Scientist,Junior,Germany,Rust,Big Tech,25,118208.54
Sales,Mid,New York,Java,Big Tech,8,181882.4
QA Engineer,Mid,Remote,Rust,Startup,9,82225.11
Sales,Principal,Germany,Rust,Mid-Size,9,268506.07
Data Scientist,Senior,Remote,Python,Startup,15,153611.2
Designer,Mid,Germany,Go,Mid-Size,6,91828.88
Product Manager,Senior,SF,Rust,Big Tech,4,335723.64
Sales,Lead,New York,C++,Big Tech,22,404039.68
Designer,Junior,New York,Rust,Mid-Size,2,89007.56
Product Manager,Principal,India,Go,Mid-Size,17,109305.4
Product Manager,Senior,Germany,Python,Big Tech,10,207967.46
Data Scientist,Mid,Remote,Go,Big Tech,14,205727.6
Sales,Senior,New York,Python,Startup,20,170909.81
DevOps,Mid,New York,Java,Big Tech,19,224012.6
Software Engineer,Senior,London,Python,Mid-Size,4,127665.05
Data Scientist,Mid,London,Java,Startup,23,96691.22
Data Scientist,Lead,New York,Java,Mid-Size,11,298615.67
DevOps,Mid,Germany,Python,Startup,3,67111.48
Software Engineer,Mid,India,C++,Mid-Size,14,33605.9
Designer,Junior,New York,Javascript,Big Tech,8,117842.62
QA Engineer,Mid,SF,Python,Mid-Size,6,123685.35
Sales,Junior,Remote,Rust,Startup,9,60457.37
QA Engineer,Principal,India,C++,Mid-Size,22,70702.64
Designer,Junior,SF,C++,Startup,12,78478.87
HR,Lead,India,Rust,Mid-Size,7,48656.56
Data Scientist,Junior,SF,Javascript,Big Tech,11,169431.3
Software Engineer,Principal,Remote,C++,Big Tech,21,506073.68
Data Scientist,Lead,Remote,Java,Mid-Size,23,251717.06
Product Manager,Senior,London,Javascript,Mid-Size,18,203477.57
Data Scientist,Senior,Germany,Rust,Mid-Size,25,183934.57
Data Scientist,Junior,SF,Javascript,Startup,25,86631.81
Designer,Junior,London,Python,Mid-Size,0,56227.04
Designer,Principal,SF,Javascript,Mid-Size,15,434638.49
Designer,Principal,London,Java,Startup,21,198927.42
QA Engineer,Mid,Remote,Python,Big Tech,16,155855.75
Product Manager,Principal,India,Go,Mid-Size,24,102310.2
HR,Mid,London,Rust,Mid-Size,17,107228.39
HR,Lead,SF,Rust,Big Tech,10,403899.39
Designer,Junior,SF,Javascript,Big Tech,17,152612.31
Software Engineer,Lead,Germany,C++,Startup,6,127557.83
QA Engineer,Principal,Remote,Python,Mid-Size,17,306605.75
DevOps,Lead,SF,Go,Mid-Size,25,419925.98
Software Engineer,Lead,New York,Python,Startup,7,192537.72
Sales,Lead,India,Rust,Big Tech,5,71198.21
Sales,Principal,London,Python,Startup,6,206222.48
Software Engineer,Lead,Germany,Go,Big Tech,22,289564.41
Designer,Mid,India,C++,Startup,21,23866.89
DevOps,Principal,Remote,Javascript,Big Tech,9,450338.68
DevOps,Lead,Germany,Java,Startup,10,151697.78
QA Engineer,Principal,London,Python,Big Tech,24,368693.89
DevOps,Senior,London,Java,Big Tech,12,261536.15
Sales,Mid,New York,Rust,Big Tech,8,236633.99
Product Manager,Lead,Remote,Javascript,Big Tech,6,288727.43
Designer,Senior,Germany,Javascript,Big Tech,8,171575.27
DevOps,Senior,Germany,Python,Mid-Size,12,172582.27
QA Engineer,Principal,SF,C++,Big Tech,25,544526.09
Sales,Senior,New York,Javascript,Mid-Size,2,172251.91
Product Manager,Mid,New York,Python,Big Tech,2,193413.87
Data Scientist,Mid,Germany,Python,Mid-Size,0,72232.68
Data Scientist,Junior,Germany,Java,Mid-Size,20,78075.84
Product Manager,Mid,India,Javascript,Startup,19,24573.22
Sales,Senior,India,Python,Big Tech,1,43344.54
QA Engineer,Mid,India,Java,Startup,24,21230.24
Product Manager,Principal,New York,Go,Startup,2,276287.87
Designer,Junior,SF,Java,Big Tech,14,148498.33
Designer,Senior,London,Java,Startup,23,128601.91
Data Scientist,Junior,India,Python,Big Tech,5,23799.86
DevOps,Senior,SF,Rust,Startup,12,230623.85
QA Engineer,Principal,Remote,Rust,Big Tech,20,472996.9
Data Scientist,Junior,India,C++,Big Tech,0,20547.45
DevOps,Lead,London,Rust,Big Tech,19,382528.5
DevOps,Senior,Remote,Java,Mid-Size,18,200882.09
HR,Lead,Remote,C++,Startup,0,110519.81
Designer,Junior,London,Python,Mid-Size,20,72131.06
Sales,Lead,India,Javascript,Startup,21,40273.19
Software Engineer,Lead,New York,Java,Startup,1,182599.86
Sales,Junior,London,Java,Startup,14,56955.59
Software Engineer,Principal,London,C++,Mid-Size,13,317726.97
Product Manager,Lead,London,Python,Startup,18,183566.39
Designer,Lead,Remote,Go,Mid-Size,10,232948.13
DevOps,Principal,SF,Java,Big Tech,14,614742.72
QA Engineer,Lead,New York,Go,Startup,5,186490.76
Software Engineer,Lead,India,Go,Startup,19,50249.07
Sales,Lead,India,Rust,Big Tech,8,82918.11
DevOps,Mid,SF,Python,Big Tech,4,181285.17
Software Engineer,Principal,London,Go,Startup,19,288232.47
Software Engineer,Lead,New York,Python,Big Tech,1,329074.2
HR,Principal,India,Rust,Mid-Size,5,57649.08
Software Engineer,Senior,Germany,Python,Mid-Size,25,141417.59
QA Engineer,Senior,India,Java,Startup,17,31596.36
Designer,Lead,London,Go,Mid-Size,22,223431.74
QA Engineer,Principal,Germany,Python,Mid-Size,18,280325.04
Data Scientist,Principal,SF,Javascript,Startup,8,298478.83
DevOps,Principal,New York,Python,Big Tech,20,624428.36
Designer,Mid,SF,Go,Startup,23,136770.33
HR,Senior,SF,Rust,Mid-Size,5,190551.53
Designer,Principal,New York,Rust,Startup,13,344436.78
Designer,Principal,New York,Go,Startup,25,347892.68
Sales,Mid,India,Java,Mid-Size,23,29674.14
Designer,Mid,India,Java,Mid-Size,12,26143.48
HR,Principal,New York,Rust,Startup,10,294525.52
QA Engineer,Junior,Germany,Rust,Mid-Size,11,68385.94
Designer,Principal,Remote,Go,Mid-Size,18,349752.38
Product Manager,Principal,India,Java,Mid-Size,18,95155.22
DevOps,Mid,Remote,Rust,Mid-Size,20,157994.53
Designer,Mid,Germany,Java,Mid-Size,25,92718.83
DevOps,Principal,New York,Rust,Mid-Size,18,542222.15
Product Manager,Principal,Germany,Python,Big Tech,23,412388.44
Product Manager,Principal,India,Javascript,Startup,25,72079.05
DevOps,Mid,SF,C++,Mid-Size,12,187106.95
Software Engineer,Principal,New York,Python,Startup,13,335208.4
Data Scientist,Principal,London,C++,Big Tech,23,464784.72
Sales,Lead,Remote,Rust,Mid-Size,17,268643.63
Software Engineer,Junior,Germany,Javascript,Startup,11,48382.88
Software Engineer,Senior,New York,Javascript,Mid-Size,3,184543.13
QA Engineer,Junior,Germany,Rust,Mid-Size,9,66417.0
Sales,Lead,New York,Rust,Mid-Size,16,345915.71
Sales,Senior,India,Java,Mid-Size,3,33976.87
Software Engineer,Principal,India,Rust,Mid-Size,11,100045.64
Designer,Lead,India,Go,Mid-Size,12,62884.85
QA Engineer,Principal,Germany,Rust,Mid-Size,3,226654.78
QA Engineer,Mid,London,Go,Big Tech,9,148005.97
Product Manager,Lead,India,Rust,Big Tech,24,105587.66
HR,Mid,New York,Java,Mid-Size,2,107436.55
Sales,Lead,India,Go,Mid-Size,14,63646.25
Software Engineer,Lead,SF,Python,Big Tech,1,347641.56
Product Manager,Mid,India,Go,Big Tech,24,54752.97
DevOps,Senior,Germany,Java,Big Tech,24,215086.61
Data Scientist,Junior,London,C++,Mid-Size,16,87540.81
HR,Principal,SF,Go,Startup,5,269537.51
HR,Lead,Germany,Rust,Startup,25,133585.18
HR,Principal,Germany,Rust,Startup,7,177677.52
